step,type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,clientID,oldBalanceDest,newBalanceDest,errorBalanceOrig,errorBalanceDest,AvgAmountOfTransaction,isFruad_result,location,clientName
162,1,186489.62,959752819,,,1933153294,8505888.96,8692378.59,,-0.01,631987.875,0,United Kingdom,خالد الفواز
13,1,145910.6,1422648772,786002.05,640091.45,1933153294,3058810.04,3286042.24,-1.1599999999999999e-10,-81321.6,631987.875,0,United Kingdom,خالد الفواز
188,1,173583.75,1606651893,,,1933153294,9123394.0,9296977.75,,0.0,631987.875,0,United Kingdom,خالد الفواز
226,0,2118766.85,1391134428,,,1933153294,9078836.62,11197603.47,,-1.8600000000000002e-09,631987.875,0,United Kingdom,خالد الفواز
15,1,17873.79,679641238,,,1933153294,4405403.34,4423277.12,,0.01,631987.875,0,United Kingdom,خالد الفواز
236,1,45981.15,233655892,,,492841836,9355300.73,9401281.88,,0.0,368290.9543,0,Leba,يحيى العبيدي
148,1,677563.22,2082620262,677563.22,0.0,492841836,5725307.68,6402870.9,0.0,-9.31e-10,368290.9543,1,Leba,يحيى العبيدي
12,1,41998.0,1975487568,,,492841836,939897.77,981895.77,,0.0,368290.9543,0,Leba,يحيى العبيدي
403,1,65444.53,1867460408,,,492841836,9729102.28,9794546.81,,-1.8600000000000002e-09,368290.9543,0,Leba,يحيى العبيدي
188,0,274870.56,68324303,,,492841836,9809098.83,10083969.39,,0.0,368290.9543,0,Leba,يحيى العبيدي
180,0,1694174.88,659617357,,,492841836,6635306.3,8329481.19,,-0.010000001,368290.9543,0,Leba,يحيى العبيدي
41,0,267092.25,182353570,,,41792607,3740604.86,4414271.36,,-406574.25,276985.0894,0,Spain,إبراهيم السامرائي
6,0,25975.86,864622150,25975.86,0.0,41792607,-1.0,-1.0,0.0,25975.86,276985.0894,1,Spain,إبراهيم السامرائي
20,1,122627.06,984182246,,,41792607,2388961.92,3120479.62,,-608890.64,276985.0894,0,Spain,إبراهيم السامرائي
253,1,34961.21,914888118,,,41792607,6750809.23,6785770.44,,0.0,276985.0894,0,Spain,إبراهيم السامرائي
326,1,283147.79,376866582,,,41792607,6972485.02,7255632.8,,0.01,276985.0894,0,Spain,إبراهيم السامرائي
71,1,62091.44,979329781,62091.44,0.0,1938348365,6296058.91,6358150.35,0.0,9.31e-10,294714.8685,1,Australia,عثمان الغامدي
514,0,74981.43,1356963704,,,1938348365,7856779.65,7931761.08,,0.0,294714.8685,0,Australia,عثمان الغامدي
8,1,130331.41,350765673,28101.0,0.0,1938348365,854916.91,1992071.23,102230.41,-1006822.91,294714.8685,0,Australia,عثمان الغامدي
9,1,27337.61,1379300988,,,1938348365,1964733.62,1992071.23,,2.33e-10,294714.8685,0,Australia,عثمان الغامدي
129,1,62678.05,230193911,,,1938348365,6358150.35,6420828.39,,0.01,294714.8685,0,Australia,عثمان الغامدي
22,1,552874.41,1102911417,,,1966002811,1673037.92,2225912.33,,0.0,289062.3929,0,Yemen,حجاج العجمي
394,1,260589.99,1238270977,,,1966002811,6472011.63,6732601.62,,0.0,289062.3929,0,Yemen,حجاج العجمي
212,0,578037.27,580040632,,,1966002811,3880696.36,4271125.97,,187607.66,289062.3929,0,Yemen,حجاج العجمي
140,1,132051.77,267425678,390.0,0.0,1966002811,2493721.09,2625772.87,131661.77,-0.01,289062.3929,0,Yemen,حجاج العجمي
13,1,1161495.82,165094398,1161495.82,0.0,1966002811,319036.02,1565123.81,0.0,-84591.97,289062.3929,1,Yemen,حجاج العجمي
15,0,182336.83,1137187136,,,1966002811,1822190.1,2004526.93,,2.33e-10,289062.3929,0,Yemen,حجاج العجمي
38,1,113839.25,1392575561,56.0,0.0,1966002811,2648520.06,2762359.31,113783.25,0.0,289062.3929,0,Yemen,حجاج العجمي
251,1,116124.58,1359081507,,,1966002811,4271900.33,4388024.92,,-0.01,289062.3929,0,Yemen,حجاج العجمي
141,0,575798.6,459688326,,,1677375515,4895822.48,5471621.08,,0.0,631044.7467,0,Yemen,جمال عكاشة
64,1,3097121.75,1563094045,3097121.75,0.0,1677375515,0.0,3097121.75,0.0,0.0,631044.7467,1,Yemen,جمال عكاشة
9,1,110983.81,251187917,20843.0,0.0,1677375515,7734.0,186006.5,90140.81,-67288.69,631044.7467,0,Yemen,جمال عكاشة
181,1,66957.61,1020363914,,,1677375515,5436388.18,5503345.79,,0.0,631044.7467,0,Yemen,جمال عكاشة
157,1,306375.92,1921142478,6572.0,0.0,1677375515,5833466.05,6139841.97,299803.92,0.0,631044.7467,0,Yemen,جمال عكاشة
14,1,12725.37,410236703,,,127509847,114262.3,126987.68,,-0.01,212429.4295,0,Denmark,محمد الكاشف
46,0,658087.44,2058907314,,,127509847,1078640.45,1736727.89,,0.0,212429.4295,0,Denmark,محمد الكاشف
12,1,2007.0,1331829443,2007.0,0.0,127509847,129917.8,250910.76,0.0,-118985.96,212429.4295,1,Denmark,محمد الكاشف
13,1,95082.23,554676081,13407.0,0.0,127509847,340150.85,250910.76,81675.23,184322.32,212429.4295,0,Denmark,محمد الكاشف
9,1,29716.63,279726651,,,127509847,205913.07,0.0,,235629.7,212429.4295,0,Denmark,محمد الكاشف
17,1,47854.4,934558632,,,127509847,152310.17,200164.57,,0.0,212429.4295,0,Denmark,محمد الكاشف
56,1,829885.13,1179900921,829885.13,0.0,2021579766,13276462.12,14106347.25,0.0,0.0,386137.4519,1,Lebanon,مريم شعواني          
251,1,338811.17,1642661811,50903.0,0.0,864078397,3764100.08,4102911.26,287908.17,-0.01,255058.4536,0,Tunisia, مسلم الصيعري 
13,0,458820.65,758491769,,,864078397,1532908.89,2788999.9,,-797270.36,255058.4536,0,Tunisia, مسلم الصيعري 
10,1,515046.94,1547015781,,,864078397,1034224.32,1420371.84,,128899.42,255058.4536,0,Tunisia, مسلم الصيعري 
8,1,1996.17,858959216,1996.17,0.0,864078397,2559.74,4555.92,0.0,-0.01,255058.4536,1,Tunisia, مسلم الصيعري 
160,1,174125.28,1157707654,,,864078397,2654471.32,2828596.6,,-4.66e-10,255058.4536,0,Tunisia, مسلم الصيعري 
8,0,582768.42,1825821836,31917.0,0.0,1589547066,0.0,582768.42,550851.42,0.0,457165.7096,0,Denmark, علي ال مهري
42,1,134614.32,148438230,105903.0,0.0,1589547066,9830628.49,9965242.81,28711.32,0.0,457165.7096,0,Denmark, علي ال مهري
9,1,308720.74,281538906,,,1589547066,4463905.63,7013312.36,,-2240685.99,457165.7096,0,Denmark, علي ال مهري
9,0,1644911.92,1061650366,,,1589547066,4772626.37,7013312.36,,-595774.07,457165.7096,0,Denmark, علي ال مهري
13,0,1345302.91,1987363694,,,1589547066,7663890.48,9197439.76,,-188246.37,457165.7096,0,Denmark, علي ال مهري
227,1,178297.04,459311015,,,1589547066,12101459.91,12279756.94,,0.01,457165.7096,0,Denmark, علي ال مهري
42,1,354919.73,1433657966,7240.0,0.0,1589547066,9475708.76,9965242.81,347679.73,-134614.32,457165.7096,0,Denmark, علي ال مهري
6,0,17320.91,788790720,17320.91,0.0,1589547066,-1.0,-1.0,0.0,17320.91,457165.7096,1,Denmark, علي ال مهري
298,1,336835.63,2093407084,31080.0,0.0,1589547066,12318730.21,12655565.84,305755.63,1.8600000000000002e-09,457165.7096,0,Denmark, علي ال مهري
15,1,289272.98,936304413,,,2119910556,1336934.24,1626207.22,,0.0,318981.2591,0,Ghana, علي الزهراني  
161,1,251843.52,1066677953,,,2119910556,5069451.6,5321295.12,,-9.31e-10,318981.2591,0,Ghana, علي الزهراني  
129,1,220129.2,412607057,,,2119910556,3905869.73,4125998.93,,0.0,318981.2591,0,Ghana, علي الزهراني  
448,0,425699.21,223159057,80588.04,0.0,2119910556,12982537.73,13408236.94,345111.17,1.8600000000000002e-09,318981.2591,0,Ghana, علي الزهراني  
7,0,164.0,1455969984,164.0,0.0,2119910556,-1.0,-1.0,0.0,164.0,318981.2591,1,Ghana, علي الزهراني  
138,1,50131.06,1368127367,,,2119910556,4125998.93,4176129.98,,0.01,318981.2591,0,Ghana, علي الزهراني  
20,1,90724.49,651419722,11538.0,0.0,2119910556,3718461.88,3809186.36,79186.49,0.01,318981.2591,0,Ghana, علي الزهراني  
133,1,35753.46,2132500953,,,814886797,7184244.39,7219997.86,,-0.010000001,418392.6729,0,Iran, هادي اليامي 
37,1,239884.07,1643547602,,,814886797,4434570.54,4668069.42,,6385.19,418392.6729,0,Iran, هادي اليامي 
96,0,1737382.87,940669668,11238.59,0.0,814886797,5663920.63,7401303.5,1726144.28,0.0,418392.6729,0,Iran, هادي اليامي 
51,1,115881.21,819461207,115881.21,0.0,814886797,4774288.04,4890169.26,0.0,-0.01,418392.6729,1,Iran, هادي اليامي 
492,1,438406.4,1265392759,3581.0,0.0,814886797,10245939.19,10684345.59,434825.4,0.0,418392.6729,0,Iran, هادي اليامي 
16,0,119773.69,1087497789,,,814886797,4180418.17,4300191.86,,0.0,418392.6729,0,Iran, هادي اليامي 
22,1,164803.43,1930442304,,,558976656,4968647.43,5133450.87,,-0.010000001,188655.35,0,United States,عبدالله الشهراني
117,1,251621.18,1370708725,251621.18,0.0,558976656,8078266.37,8329887.55,0.0,0.0,188655.35,1,United States,عبدالله الشهراني
153,0,526401.08,790898862,,,558976656,8317392.25,8843793.33,,0.0,188655.35,0,United States,عبدالله الشهراني
13,1,183492.81,720837491,8092.0,0.0,558976656,4609528.73,4793021.54,175400.81,0.0,188655.35,0,United States,عبدالله الشهراني
8,1,301493.65,1475566767,160128.05,0.0,1181708889,603771.5,684138.15,141365.6,221127.0,605387.6065,0,Botswana,علي اليامي
9,1,59815.38,1341144665,,,1181708889,1774247.95,1968562.19,,-134498.86,605387.6065,0,Botswana,علي اليامي
8,1,275588.21,690646269,,,1181708889,1032826.01,684138.15,,624276.07,605387.6065,0,Botswana,علي اليامي
11,1,254963.49,648374742,100010.0,0.0,1181708889,3345082.8,3600046.29,154953.49,0.0,605387.6065,0,Botswana,علي اليامي
178,1,340286.15,420487260,13336.0,0.0,1181708889,12999005.23,13339291.38,326950.15,0.0,605387.6065,0,Botswana,علي اليامي
9,1,100866.06,1137188473,,,1181708889,684138.15,1114517.69,,-329513.48,605387.6065,0,Botswana,علي اليامي
25,1,217231.0,1847744332,217231.0,0.0,1181708889,7236671.1,7453902.1,0.0,0.0,605387.6065,1,Botswana,علي اليامي
10,1,269502.41,1694299929,11618.0,0.0,1769042905,9453.64,408363.44,257884.41,-129407.39,136637.0162,0,Kuwait,فاطمه اليامي 
159,0,398761.28,1607704966,113369.0,0.0,1769042905,1618303.25,2017064.53,285392.28,0.0,136637.0162,0,Kuwait,فاطمه اليامي 
9,1,361559.69,684758020,361559.69,0.0,1769042905,504667.31,189441.24,0.0,676785.76,136637.0162,1,Kuwait,فاطمه اليامي 
11,1,105345.35,312513865,,,1769042905,408363.44,513708.79,,5.8200000000000003e-11,136637.0162,0,Kuwait,فاطمه اليامي 
10,0,2594904.29,601869500,3379718.93,784814.64,185805228,5321241.06,7916145.35,0.0,0.0,501743.9623,0,Lebanon, عيد بالحارث
136,0,848104.35,1499494331,,,185805228,11065423.2,11913527.55,,-1.8600000000000002e-09,501743.9623,0,Lebanon, عيد بالحارث
131,1,251710.82,1270254258,,,185805228,10266275.85,10517986.67,,0.0,501743.9623,0,Lebanon, عيد بالحارث
18,1,295664.18,1446413189,295664.18,0.0,185805228,10184336.54,10480000.72,0.0,-1.8600000000000002e-09,501743.9623,1,Lebanon, عيد بالحارث
210,1,100186.71,129549927,20363.0,0.0,185805228,11857612.91,11957799.62,79823.71,1.8600000000000002e-09,501743.9623,0,Lebanon, عيد بالحارث
7,0,1106508.19,1807775584,,,991505714,8399965.38,13994753.4,,-4488279.83,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
2,0,170610.11,470187021,,,991505714,1095914.71,1066634.1,,199890.72,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
7,0,2861134.92,1326904973,,,991505714,5352935.74,13994753.4,,-5780682.74,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
2,1,132382.57,1003663195,2408.0,0.0,991505714,0.0,1095914.71,129974.57,-963532.14,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
2,1,963532.14,430329518,963532.14,0.0,991505714,132382.57,1095914.71,0.0,0.0,721030.0467,1,Democratic People's Republic of Korea,محمد المهري 
11,0,553116.85,1479771322,,,991505714,17056642.7,17609759.55,,0.0,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
6,1,122380.82,412255839,12505.98,0.0,991505714,1924870.22,5352935.74,109874.84,-3305684.7,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
9,1,286809.65,453263261,,,991505714,13994753.4,14562439.23,,-280876.18,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
8,0,3457807.35,129339892,,,991505714,9506473.57,13994753.4,,-1030472.48,721030.0467,0,Democratic People's Republic of Korea,محمد المهري 
14,0,301990.78,2019909612,11291.0,0.0,157591472,1726323.65,2800028.46,290699.78,-771714.03,426154.6226,0,Ghana,سايره آل منصور 
589,0,805825.5,450921412,,,157591472,7514723.75,8320549.25,,0.0,426154.6226,0,Ghana,سايره آل منصور 
10,1,289249.84,734065969,44550.84,0.0,157591472,323681.18,612931.02,244699.0,0.0,426154.6226,0,Ghana,سايره آل منصور 
12,1,288029.01,715529727,,,157591472,741893.16,1029922.17,,0.0,426154.6226,0,Ghana,سايره آل منصور 
8,1,59063.69,681872175,,,157591472,449131.58,508195.26,,0.01,426154.6226,0,Ghana,سايره آل منصور 
43,1,141709.67,392406590,,,157591472,3829747.03,3971456.7,,-4.66e-10,426154.6226,0,Ghana,سايره آل منصور 
140,1,63094.04,879600432,11561.0,0.0,157591472,4127558.79,4190652.82,51533.04,0.01,426154.6226,0,Ghana,سايره آل منصور 
17,1,206788.14,1847403742,,,157591472,2917953.8,3124741.95,,-0.01,426154.6226,0,Ghana,سايره آل منصور 
11,1,313418.28,2021456831,313418.28,0.0,157591472,688164.64,1029922.17,0.0,-28339.25,426154.6226,1,Ghana,سايره آل منصور 
13,0,191683.01,748286413,,,305934,4283054.99,4474738.01,,-0.01,508181.7109,0,United States,سعد ال مسفوه
16,1,168884.22,2066991634,20665.0,0.0,305934,4438900.06,4497603.36,148219.22,110180.92,508181.7109,0,United States,سعد ال مسفوه
15,1,348101.95,1803442147,264.0,0.0,305934,4039039.66,4438900.06,347837.95,-51758.45,508181.7109,0,United States,سعد ال مسفوه
11,1,272851.65,1390118541,378466.66,105615.01,305934,3722486.9,3995338.54,5.8200000000000003e-11,0.01,508181.7109,0,United States,سعد ال مسفوه
11,0,752793.73,140206620,38680.38,0.0,305934,2969693.17,3995338.54,714113.35,-272851.64,508181.7109,0,United States,سعد ال مسفوه
11,1,364877.55,908783576,84845.52,0.0,1270516,1264812.44,1806529.0,280032.03,-176839.01,519067.7212,0,South Africa,  ظافر الفطيح 
15,1,316247.55,221074535,924.0,0.0,1270516,6606883.55,6923131.09,315323.55,0.01,519067.7212,0,South Africa,  ظافر الفطيح 
12,1,292912.28,2113597755,,,1270516,1806529.0,2099441.29,,-0.01,519067.7212,0,South Africa,  ظافر الفطيح 
18,1,101605.32,38040652,9980.0,0.0,1270516,7366335.04,7525340.29,91625.32,-57399.93,519067.7212,0,South Africa,  ظافر الفطيح 
11,1,457980.23,1952605049,,,1270516,806832.21,1806529.0,,-541716.56,519067.7212,0,South Africa,  ظافر الفطيح 
12,0,1412977.1,227958148,,,1270516,2099441.29,4817025.71,,-1304607.32,519067.7212,0,South Africa,  ظافر الفطيح 
590,1,294075.09,1818277728,58097.0,0.0,1270516,15479797.64,15773872.73,235978.09,0.0,519067.7212,0,South Africa,  ظافر الفطيح 
138,1,233191.57,236845087,,,1946788,8063047.26,8296238.83,,0.0,472766.1778,0,Spain,  جارالله القحطاني 
226,0,1825446.46,1934033743,,,1946788,8130527.83,9955974.29,,0.0,472766.1778,0,Spain,  جارالله القحطاني 
20,1,185395.41,784487253,,,1946788,8592430.77,8831707.86,,-53881.68,472766.1778,0,Spain,  جارالله القحطاني 
306,1,209662.53,1904656648,1904.0,0.0,1946788,10294631.98,10504294.51,207758.53,0.0,472766.1778,0,Spain,  جارالله القحطاني 
256,1,416030.26,1919500725,20813.0,0.0,1946788,9955974.29,10372004.55,395217.26,-1.8600000000000002e-09,472766.1778,0,Spain,  جارالله القحطاني 
9,1,172065.77,463569854,28134.0,0.0,2349554,0.0,172065.77,143931.77,0.0,702000.1143,0,Sweden,  عبدالله الهمامي 
40,1,173053.65,1390698894,56.76,0.0,2349554,4888463.01,5061516.67,172996.89,-0.01,702000.1143,0,Sweden,  عبدالله الهمامي 
13,0,1360846.23,1003473612,493.0,0.0,2349554,517860.13,1878706.36,1360353.23,-2.33e-10,702000.1143,0,Sweden,  عبدالله الهمامي 
157,1,557836.47,2024263636,,,2349554,6160248.24,6718084.72,,-0.01,702000.1143,0,Sweden,  عبدالله الهمامي 
256,1,171157.66,1888221318,29151.0,0.0,6227323,6441898.64,6613056.29,142006.66,0.01,453622.6525,0,Yemen,  حسن عسيري
42,0,477640.2,717071647,,,6227323,1328676.72,1806316.92,,0.0,453622.6525,0,Yemen,  حسن عسيري
179,0,1960752.72,793998651,,,6227323,4550518.8,6511271.52,,0.0,453622.6525,0,Yemen,  حسن عسيري
19,0,487321.59,2019208332,1242.0,0.0,6227323,1084052.11,1571373.71,486079.59,-0.01,453622.6525,0,Yemen,  حسن عسيري
21,1,62269.14,97237396,,,6227323,1571373.71,1633642.85,,-2.33e-10,453622.6525,0,Yemen,  حسن عسيري
45,1,121071.69,1938303547,,,6227323,1792991.24,1914062.93,,0.0,453622.6525,0,Yemen,  حسن عسيري
331,0,471286.59,1122725348,,,6227323,9904950.12,10376236.71,,-1.8600000000000002e-09,453622.6525,0,Yemen,  حسن عسيري
11,1,381304.86,853974020,,,6227323,827363.27,1639851.02,,-431182.89,453622.6525,0,Yemen,  حسن عسيري
11,1,83313.81,1639175123,,,6227323,744049.46,827363.27,,0.0,453622.6525,0,Yemen,  حسن عسيري
10,1,292563.1,1896098707,219030.43,0.0,6227323,127741.6,827363.27,73532.67,-407058.57,453622.6525,0,Yemen,  حسن عسيري
11,1,310828.8,72578423,521985.39,211156.59,7881234,3208759.7,3649353.41,0.0,-129764.91,284757.8019,0,Saudi Arabia,مسفر اليامي 
12,1,274533.74,1387158486,,,7881234,4376964.12,4674598.83,,-23100.97,284757.8019,0,Saudi Arabia,مسفر اليامي 
13,0,492421.06,1719690642,,,7881234,4182177.78,4674598.83,,0.01,284757.8019,0,Saudi Arabia,مسفر اليامي 
15,0,1007862.06,760565080,,,7881234,5206579.27,6214441.33,,0.0,284757.8019,0,Saudi Arabia,مسفر اليامي 
12,1,526166.43,1535506016,183.0,0.0,7881234,3850797.69,4376964.12,525983.43,0.0,284757.8019,0,Saudi Arabia,مسفر اليامي 
204,1,182513.94,1885356624,,,7881234,8831844.46,9014358.4,,0.0,284757.8019,0,Saudi Arabia,مسفر اليامي 
399,1,2457.47,1326804945,31252.0,28794.53,7881234,8791755.55,8794213.01,0.0,0.010000002,284757.8019,0,Saudi Arabia,مسفر اليامي 
11,1,81581.58,846009191,,,7881234,3127178.12,3649353.41,,-440593.71,284757.8019,0,Saudi Arabia,مسفر اليامي 
8,1,186966.07,483516546,,,7881234,1403713.74,1100454.23,,490225.58,284757.8019,0,Saudi Arabia,مسفر اليامي 
140,0,555211.48,862483185,,,8290162,12430382.61,12985594.09,,0.0,1900295.5690000001,0,Morocco,  محمد القحطاني 
8,1,363632.3,1908550070,,,8290162,6490528.07,6650282.66,,203877.71,1900295.5690000001,0,Morocco,  محمد القحطاني 
11,0,1160658.39,1713295326,49768.0,0.0,8290162,9473915.45,10725339.43,1110890.39,-90765.59,1900295.5690000001,0,Morocco,  محمد القحطاني 
8,0,849677.13,1254679251,102639.0,0.0,8290162,5171482.83,6650282.66,747038.13,-629122.7,1900295.5690000001,0,Morocco,  محمد القحطاني 
402,1,46846.64,655710822,,,8290162,90275078.76,90321925.4,,0.0,1900295.5690000001,0,Morocco,  محمد القحطاني 
139,1,174607.44,308898914,,,8290162,12255775.17,12430382.61,,0.0,1900295.5690000001,0,Morocco,  محمد القحطاني 
15,1,143357.61,1800383968,20016.0,0.0,8290162,10160868.99,10909998.76,123341.61,-605772.16,1900295.5690000001,0,Morocco,  محمد القحطاني 
159,1,47950.68,378253982,,,8540189,6637325.83,6685276.52,,-0.01,589180.0169,0,Iraq,  حمد الشراري
10,0,559786.99,1912575489,,,8540189,2839843.34,3399630.33,,0.0,589180.0169,0,Iraq,  حمد الشراري
11,1,413146.42,1040597044,29944.0,0.0,8540189,3024001.87,3437148.29,383202.42,0.0,589180.0169,0,Iraq,  حمد الشراري
11,1,69711.52,1428559681,,,8540189,2954290.36,3437148.29,,-413146.41,589180.0169,0,Iraq,  حمد الشراري
13,0,164307.23,1236444076,,,8540189,4746762.5,4911069.73,,0.0,589180.0169,0,Iraq,  حمد الشراري
9,0,2810031.85,1903104117,31174.0,0.0,8540189,29811.48,3399630.33,2778857.85,-559787.0,589180.0169,0,Iraq,  حمد الشراري
299,0,9508076.11,1649771755,,,11003494,24321152.25,33829228.37,,-0.009999998000000001,856266.3422,0,United Arab Emirates,جميلة	المهدوي
38,1,91065.71,1609051421,,,11003494,21370373.19,22653212.71,,-1191773.81,856266.3422,0,United Arab Emirates,جميلة	المهدوي
9,0,866965.71,424501244,,,11003494,15487289.9,16792645.39,,-438389.78,856266.3422,0,United Arab Emirates,جميلة	المهدوي
15,1,209791.07,816731486,169478.0,0.0,11003494,18513022.21,18432088.13,40313.07,290725.15,856266.3422,0,United Arab Emirates,جميلة	المهدوي
6,1,147459.35,1922920162,,,11003494,11590178.72,11919932.15,,-182294.08,856266.3422,0,United Arab Emirates,جميلة	المهدوي
7,0,1284837.02,882280168,541387.8,0.0,11003494,13741343.06,15026180.08,743449.22,0.0,856266.3422,0,United Arab Emirates,جميلة	المهدوي
9,1,88550.77,1699230472,81775.0,0.0,11003494,16704094.63,16792645.39,6775.77,0.010000002,856266.3422,0,United Arab Emirates,جميلة	المهدوي
9,1,349839.02,1728170657,,,11003494,16354255.61,16792645.39,,-88550.76,856266.3422,0,United Arab Emirates,جميلة	المهدوي
20,0,389524.43,1806584312,,,12387149,2530217.87,2919742.31,,-0.01,436048.0967,0,Germany,  عبدالمحسن الشراري 
134,1,217229.37,1237529208,,,12387149,3528922.11,3746151.48,,0.0,436048.0967,0,Germany,  عبدالمحسن الشراري 
19,1,316095.27,2063804816,,,12387149,2522470.09,2530217.87,,308347.49,436048.0967,0,Germany,  عبدالمحسن الشراري 
36,0,227569.05,5509258,,,12387149,3161893.77,3389462.83,,-0.01,436048.0967,0,Germany,  عبدالمحسن الشراري 
686,1,307760.2,1918694747,121579.0,0.0,12387149,7640377.85,7948138.05,186181.2,0.0,436048.0967,0,Germany,  عبدالمحسن الشراري 
15,1,81098.69,1281496169,,,12387149,1972009.8,2053108.49,,0.0,436048.0967,0,Germany,  عبدالمحسن الشراري 
13,1,508168.46,2102353250,10710.0,0.0,12387149,912539.95,1047405.53,497458.46,373302.88,436048.0967,0,Germany,  عبدالمحسن الشراري 
12,1,326578.42,1960542098,64795.0,0.0,12387149,585961.53,1047405.53,261783.42,-134865.58,436048.0967,0,Germany,  عبدالمحسن الشراري 
10,1,98359.55,1225237195,15680.0,0.0,13459888,63014.01,161373.57,82679.55,-0.01,411156.3613,0,Mexico,عبدالرحمن الشراري
16,1,27849.57,1102498999,,,13459888,816247.93,690109.88,,153987.62,411156.3613,0,Mexico,عبدالرحمن الشراري
18,1,255149.3,975602089,219816.63,0.0,13459888,844231.18,1099380.48,35332.67,0.0,411156.3613,0,Mexico,عبدالرحمن الشراري
37,1,60084.96,1512856421,30388.0,0.0,13459888,896510.87,956595.82,29696.96,0.01,411156.3613,0,Mexico,عبدالرحمن الشراري
253,1,142253.59,1002730716,423.0,0.0,13459888,5600402.52,5742656.11,141830.59,-9.31e-10,411156.3613,0,Mexico,عبدالرحمن الشراري
9,1,78553.06,2016039630,464.0,0.0,13459888,20559.0,161373.57,78089.06,-62261.51,411156.3613,0,Mexico,عبدالرحمن الشراري
12,1,331419.75,1067716870,,,14070792,855109.14,1186528.88,,0.01,212543.8694,0,Trinidad and Tobago,مدالله الشراري 
258,1,90776.29,151712453,,,14070792,4072776.46,4163552.76,,-0.01,212543.8694,0,Trinidad and Tobago,مدالله الشراري 
164,1,296836.61,1071113455,,,14070792,2543045.19,2839881.8,,0.0,212543.8694,0,Trinidad and Tobago,مدالله الشراري 
18,1,212836.6,2092453620,,,14070792,2660054.89,2498571.15,,374320.34,212543.8694,0,Trinidad and Tobago,مدالله الشراري 
285,0,596721.86,285253774,,,14070792,4434007.39,5030729.25,,0.0,212543.8694,0,Trinidad and Tobago,مدالله الشراري 
13,1,267229.8,186246158,,,14070792,1211439.33,1654242.01,,-175572.88,212543.8694,0,Trinidad and Tobago,مدالله الشراري 
10,1,274130.78,1095237130,,,14376585,6495410.58,8328525.51,,-1558984.15,445708.4145,0,Leba,زيد الحمزي 
10,1,344987.95,1177950725,,,14376585,7983537.55,8328525.51,,-0.01,445708.4145,0,Leba,زيد الحمزي 
